reference_risk_band,comparison_risk_band,applicant_count,reference_model,comparison_model,split,applicant_pct
Low Risk,High Risk,1076,BLOG001,BNB011,validation,0.024008746680946963
Low Risk,Low Risk,5582,BLOG001,BNB011,validation,0.12455095164781221
Low Risk,Medium Risk,4310,BLOG001,BNB011,validation,0.0961688644933842
Low Risk,Very High Risk,295,BLOG001,BNB011,validation,0.006582323671820961
Medium Risk,Extreme Risk,86,BLOG001,BNB011,validation,0.0019189146975478056
Medium Risk,High Risk,2382,BLOG001,BNB011,validation,0.05314947452975433
Medium Risk,Low Risk,2684,BLOG001,BNB011,validation,0.059887988932771044
Medium Risk,Medium Risk,5060,BLOG001,BNB011,validation,0.11290358569292902
Medium Risk,Very High Risk,702,BLOG001,BNB011,validation,0.015663699042773947
Very High Risk,Extreme Risk,1525,BLOG001,BNB011,validation,0.03402726643907446
Very High Risk,High Risk,4118,BLOG001,BNB011,validation,0.09188477586630073
Very High Risk,Low Risk,1,BLOG001,BNB011,validation,2.2312961599393088e-05
Very High Risk,Medium Risk,513,BLOG001,BNB011,validation,0.011446549300488653
Very High Risk,Very High Risk,5162,BLOG001,BNB011,validation,0.11517950777606711
Extreme Risk,Extreme Risk,408,BLOG001,BNB012,validation,0.00910368833255238
Extreme Risk,High Risk,104,BLOG001,BNB012,validation,0.002320548006336881
Extreme Risk,Medium Risk,3,BLOG001,BNB012,validation,6.693888479817926e-05
Extreme Risk,Very High Risk,485,BLOG001,BNB012,validation,0.010821786375705647
High Risk,Extreme Risk,195,BLOG001,BNB012,validation,0.004351027511881652
High Risk,High Risk,4422,BLOG001,BNB012,validation,0.09866791619251623
High Risk,Low Risk,696,BLOG001,BNB012,validation,0.01552982127317759
High Risk,Medium Risk,3558,BLOG001,BNB012,validation,0.07938951737064061
High Risk,Very High Risk,1423,BLOG001,BNB012,validation,0.031751344355936365
Low Risk,Extreme Risk,27,BLOG001,BNB012,validation,0.0006024499631836134
Low Risk,High Risk,1076,BLOG001,BNB012,validation,0.024008746680946963
Low Risk,Low Risk,5582,BLOG001,BNB012,validation,0.12455095164781221
Low Risk,Medium Risk,4310,BLOG001,BNB012,validation,0.0961688644933842
Low Risk,Very High Risk,295,BLOG001,BNB012,validation,0.006582323671820961
Medium Risk,Extreme Risk,86,BLOG001,BNB012,validation,0.0019189146975478056
Medium Risk,High Risk,2382,BLOG001,BNB012,validation,0.05314947452975433
Medium Risk,Low Risk,2684,BLOG001,BNB012,validation,0.059887988932771044
Medium Risk,Medium Risk,5060,BLOG001,BNB012,validation,0.11290358569292902
